Unit	Race	Gold	Wood	Pop	HP	Armor Type	Armor	Sight	Speed	Time	Ground Attack	Damage	Cooldown	DPS	Range	Air Attack	Damage	Cooldown	DPS	Range
Peasant	Human	75	0	1	220	Medium	0	80	190	15	Normal	5.50	2.00	2.75	0	-	-	-	-	-
Militia	Human	-	-	1	220	Heavy	4	140	270	-	Normal	12.50	1.20	10.42	0	-	-	-	-	-
Footman	Human	135	0	2	420	Heavy	2	140	270	20	Normal	12.50	1.35	9.26	0	-	-	-	-	-
Rifleman	Human	205	30	3	535	Medium	0	140	270	26	Pierce	21.00	1.50	14.00	40	Pierce	21.00	1.50	14.00	60
Knight	Human	245	60	4	835	Heavy	5	140	350	45	Normal	34.00	1.40	24.29	0	-	-	-	-	-
Priest	Human	135	10	2	290	Unarmored	0	140	270	28	Magic	8.50	2.00	4.25	60	Magic	8.50	2.00	4.25	60
Sorceress	Human	155	20	2	325	Unarmored	0	140	270	30	Magic	11.00	1.75	6.29	60	Magic	11.00	1.75	6.29	60
Spell Breaker	Human	215	30	3	600	Medium	3	140	300	28	Normal	14.00	1.90	7.37	25	-	-	-	-	-
Flying Machine	Human	90	30	1	200	Heavy	2	180	400	13	Siege	7.50	2.50	3.00	0	Pierce	14.50	2.00	7.25	50
Mortar Team	Human	180	70	3	360	Heavy	0	140	270	40	Siege	58.00	3.50	16.57	115	-	-	-	-	-
Siege Engine	Human	195	60	3	700	Fort	2	140	220	55	Siege	50.00	2.10	23.81	19	Siege	13.50	2.10	6.43	50
Gryphon Rider	Human	280	70	4	825	Light	0	160	320	45	Magic	50.00	2.20	22.73	45	Magic	50.00	2.40	20.83	45
Dragonhawk Rider	Human	200	30	3	575	Light	1	140	350	28	Pierce	19.00	1.75	10.86	30	Pierce	19.00	1.75	10.86	30
Water Elemental 1	Human	-	-	-	525	Heavy	0	120	220	-	Pierce	20.00	1.50	13.33	30	Pierce	20.00	1.50	13.33	30
Water Elemental 2	Human	-	-	-	675	Heavy	1	120	220	-	Pierce	35.00	1.50	23.33	30	Pierce	35.00	1.50	23.33	30
Water Elemental 3	Human	-	-	-	900	Heavy	2	120	220	-	Pierce	45.00	1.50	30.00	30	Pierce	45.00	1.50	30.00	30
Phoenix	Human	-	-	-	1250	Light	1	160	320	-	Magic	68.00	1.40	48.57	60	Magic	68.00	1.40	48.57	60
Peon	Orc	75	0	1	250	Medium	0	80	190	15	Normal	7.50	3.00	2.50	0	-	-	-	-	-
Grunt	Orc	200	0	3	700	Heavy	1	140	270	30	Normal	19.50	1.60	12.19	0	-	-	-	-	-
T. Headhunter	Orc	135	20	2	350	Medium	0	140	270	20	Pierce	25.00	2.31	10.82	45	Pierce	25.00	2.31	10.82	45
T. Berserker	Orc	135	20	2	450	Medium	0	140	270	22	Pierce	25.00	2.31	10.82	45	Pierce	25.00	2.31	10.82	45
Demolisher	Orc	220	50	4	425	Heavy	2	140	220	40	Siege	80.50	4.50	17.89	115	-	-	-	-	-
Raider	Orc	180	40	3	610	Medium	1	140	350	28	Siege	25.00	1.85	13.51	0	-	-	-	-	-
Tauren	Orc	280	80	5	1300	Heavy	3	140	270	44	Normal	33.00	1.90	17.37	0	-	-	-	-	-
Shaman	Orc	130	20	2	335	Unarmored	0	140	270	30	Magic	8.50	2.10	4.05	60	Magic	8.50	2.10	4.05	60
